web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1584087257-2489","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=two_star","lchall","If JK had written it in regular book form it could have been so good because the premise of the book is good","Reviewed in the United States on September 19, 2016","Should not have been sold as a book. If JK had written it in regular book form it could have been so good because the premise of the book is good.  However, it could not be well developed in play form or by any writer other than JK Rowling.","2.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_57?ie=UTF8&filterByStar=two_star&pageNumber=57&reviewerType=all_reviews&sortBy=recent"
"1584087232-2375","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=two_star","A. C. Pereira","Two Stars","Reviewed in the United States on October 3, 2016","The characters didn't keep their characters.","2.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_46?ie=UTF8&filterByStar=two_star&pageNumber=46&reviewerType=all_reviews&sortBy=recent"
"1584087326-2790","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=two_star","Dan I.","Disappointing sequel to the HP series.","Reviewed in the United States on August 10, 2016","So I can't give this one-star, because I'm too big of an HP fan to do that. And also because, in a vacuum, it would be a fine, entertaining read. I'm sure as a play, it's pretty thrilling to see. But as a hardcore fan, it was a huge disappointment. I actually am surprised that JK Rowling would put her name on such a mediocre much-anticipated sequel to her series.

I don't want to give away any spoilers here. So I'll do my best to review this without revealing any plot lines. For starters the HP books, in my view, were brilliant on many levels, but particularly good due to their character development, twists and super-tight plot lines. This sequel fails on all those levels. It seems that for some very important characters, Rowling throws her previous character development down the drain. It's really troubling. The plot was also oddly predictable. The play's main twist I saw coming from the first possible moment. (I don't think I saw any of her previous twists coming in the HP books.) And the plot/story itself seems wildly implausible in several areas (whereas in the HP books, if you accept the premise that magic is a thing, the plots/stories seem very tight and believable). There are also a ton of holes.

With spoilers, I could name a few dozen problems I have with the play, but I won't do that here. It's just odd that Rowling seems to ignore the canon she carefully established in the HP series and subsequent writings. I just don't get it. With that said, it's entertaining enough, if you can ignore all that stuff and just treat it as a fantasy play without worrying too hard about it fitting with what we know of the HP universe. But for major fans, it's pretty disappointing, I think. As I've seen written elsewhere, it really reads like bad fanfic. I know I've got high expectations for Rowling, but that's what she's established. They weren't nearly met.","2.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_87?ie=UTF8&filterByStar=two_star&pageNumber=87&reviewerType=all_reviews&sortBy=recent"
"1584087151-2003","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=two_star","Maree LaRue","So glad I borrowed and didn't buy","Reviewed in the United States on July 30, 2017","Yes, I know plays read differently from books. But the problem is there in the name: plays should be watched and not read. (Shakespeare's audiences couldn't read y'all!) But even with that caveat...I was so bitterly disappointed in JK Rowling. I'm a huge fantasy & sci-fi fan, probably stemming from my early Harry Potter fascination. So I've seen almost every time travel trope beaten to death. But other authors (and directors) did a much, much better job.

Maybe I'm tainted by this book in the time period of Fifty Shades (*shudder*) but it feels like something a fan fiction writer would come up with. Half-cocked and just playing around with well-established and beloved characters for the hell of it. I had to wash my brain out with a re-reading of the original HP series to recover after powering through Cursed Child.

I may see the play, if it's a free ticket. Maybe.","2.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&filterByStar=two_star&pageNumber=9&reviewerType=all_reviews&sortBy=recent"
"1584087223-2332","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=two_star","Nancy Herman","Scripted book","Reviewed in the United States on October 4, 2016","Not enjoying the book because it's hard to read. Will never buy a book again that's written in this format","2.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_42?ie=UTF8&filterByStar=two_star&pageNumber=42&reviewerType=all_reviews&sortBy=recent"
"1584087322-2768","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=two_star","David","Disappointed","Reviewed in the United States on August 11, 2016","Longtime Harry Potter fan. Have read the books multiple times and adored them growing up. Very disappointed in this final installment. Characters are not true to themselves. It's corny and predictable. What a terrible way to end such an iconic series.","2.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_85?ie=UTF8&filterByStar=two_star&pageNumber=85&reviewerType=all_reviews&sortBy=recent"
"1584087235-2386","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=two_star","Tristran.","A pity it is not about Albus and Scorpius. This series I would like to read.","Reviewed in the United States on October 3, 2016","It is a play book. Probably nice to look at on stage and some readers with an huge imagination, can see it happen. Honestly, an eight book of this series would have been an nice extra but this book here is just a text book for the play. It shall be the actors who have to blow life in the characters.
Why didn't they (editors) make a graphic novel. The text they have here. It is fast food. The characters of Albus and Scorpius are something I would have liked to read a book about but alas even on stage it will be Harry Potter and his friends who are in focus. Ron and Hermoine are much in love. Harry has a wife called Ginny. They all have a few brats. They have an important job except Ron and Ginny (Joke shop owner, Wife). Did I mention they are very much in love? I really don't care. The Boys are of more interest for me. Their development and maturity would have been stuff for a good novel of its own. A novel I would have liked to read.
This textbook is junk and merchandise. Aunt Rowling will have more money to buy an yacht she doesn't need and sell it after a short time for much less as she has paid for it. Awesome.
The Harry Potter series was my favorite for a long time. I was sad for it to end but that is life all things come to an end eventually and that is good. Harry Potter and the Cursed Child isn't necessary. Period. TWO stars.","2.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_47?ie=UTF8&filterByStar=two_star&pageNumber=47&reviewerType=all_reviews&sortBy=recent"
"1584087228-2359","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=two_star","D. Kauffman","Very disappointing compared to the original books. Probably due ...","Reviewed in the United States on October 4, 2016","Very disappointing compared to the original books. Probably due to the play write form, the characters were flat. The plot was ok but not great","2.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_44?ie=UTF8&filterByStar=two_star&pageNumber=44&reviewerType=all_reviews&sortBy=recent"
"1584087344-2865","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=two_star","Vince S.","Harry Potter and The Awful Fan-Fiction","Reviewed in the United States on August 6, 2016","Dumpster tier. Reading through this, I couldn't help but feel cheated. It feels like a cheap knock-off of the original. The book is painfully short, the characters are poorly developed and incredibly generic. Not to mention, they act out-of-character from the original books. The time-turner business was ridiculous, contradictory, and a cheap plot element that made no sense.

It's honestly one of the most amateur and trite pieces I've ever read. Awful garbage, save your money and torrent it if you have to.","2.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_95?ie=UTF8&filterByStar=two_star&pageNumber=95&reviewerType=all_reviews&sortBy=recent"
"1584087381-3024","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=two_star","Jeff Emmert","Give it a week or two. Pick it up at a yard sale for $1.","Reviewed in the United States on August 2, 2016","I'm with the others who think that only Rowling should be writing these books.","2.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_111?ie=UTF8&filterByStar=two_star&pageNumber=111&reviewerType=all_reviews&sortBy=recent"
"1584087133-1930","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=two_star","Jen","👎🏻","Reviewed in the United States on May 22, 2019","It was not very good.It’s written in screenplay,and I think they should put more action in it like J.K. Rowling’s.","2.0 out of 5 stars","",""
